tanggal,provinsi,kasus_baru,kasus_aktif,kasus_kematian
3/1/2020,DKI Jakarta,2,2,0
3/2/2020,DKI Jakarta,2,2,0
3/2/2020,Indonesia,2,2,0
3/2/2020,Riau,1,1,0
3/3/2020,DKI Jakarta,2,2,0
3/3/2020,Indonesia,0,0,0
3/3/2020,Jawa Barat,1,0,1
3/3/2020,Riau,0,0,0
3/4/2020,DKI Jakarta,2,2,0
3/4/2020,Indonesia,0,0,0
3/4/2020,Jawa Barat,1,1,0
3/4/2020,Riau,0,0,0
3/5/2020,DKI Jakarta,0,-1,1
3/5/2020,Indonesia,0,0,0
3/5/2020,Jawa Barat,1,1,0
3/5/2020,Riau,0,0,0
3/6/2020,Banten,1,0,0
3/6/2020,DKI Jakarta,0,0,0
3/6/2020,Indonesia,2,2,0
3/6/2020,Jawa Barat,1,1,0
3/6/2020,Riau,0,0,0
3/7/2020,Banten,0,0,0
3/7/2020,DKI Jakarta,0,-2,2
3/7/2020,Indonesia,0,0,0
3/7/2020,Jawa Barat,0,0,0
3/7/2020,Riau,0,0,0
3/8/2020,Banten,1,-2,0
3/8/2020,DKI Jakarta,0,0,0
3/8/2020,Indonesia,2,2,0
3/8/2020,Jawa Barat,0,0,0
3/8/2020,Jawa Tengah,1,0,1
3/8/2020,Riau,0,0,0
3/9/2020,Banten,0,0,0
3/9/2020,DKI Jakarta,0,-1,1
3/9/2020,Indonesia,13,13,0
3/9/2020,Jawa Barat,0,0,0
3/9/2020,Jawa Tengah,0,0,0
3/9/2020,Riau,0,0,0
3/10/2020,Banten,0,-8,0
3/10/2020,DKI Jakarta,0,0,0
3/10/2020,Indonesia,8,6,0
3/10/2020,Jawa Barat,0,0,0
3/10/2020,Jawa Tengah,0,0,0
3/10/2020,Riau,0,0,0
3/10/2020,Sulawesi Tenggara,1,1,0
3/11/2020,Bali,1,0,1
3/11/2020,Banten,0,-8,0
3/11/2020,DKI Jakarta,0,0,0
3/11/2020,Indonesia,7,6,1
3/11/2020,Jawa Barat,0,-1,1
3/11/2020,Jawa Tengah,2,0,1
3/11/2020,Riau,0,0,0
3/11/2020,Sulawesi Tenggara,0,0,0
3/12/2020,Bali,0,0,0
3/12/2020,Banten,0,-3,1
3/12/2020,DKI Jakarta,2,-3,1
3/12/2020,Indonesia,0,0,0
3/12/2020,Jawa Barat,1,1,0
3/12/2020,Jawa Tengah,0,0,0
3/12/2020,Riau,0,0,0
3/12/2020,Sulawesi Tenggara,0,0,0
3/13/2020,Bali,0,0,0
3/13/2020,Banten,1,0,1
3/13/2020,DKI Jakarta,4,0,1
3/13/2020,Indonesia,35,32,3
3/13/2020,Jawa Barat,4,3,0
3/13/2020,Jawa Tengah,0,0,0
3/13/2020,Riau,0,0,0
3/13/2020,Sulawesi Tenggara,0,0,0
3/14/2020,Bali,0,0,0
3/14/2020,Banten,1,-1,0
3/14/2020,DKI Jakarta,2,0,1
3/14/2020,Indonesia,27,20,1
3/14/2020,Jawa Barat,0,0,0
3/14/2020,Jawa Tengah,2,1,0
3/14/2020,Kalimantan Timur,3,3,0
3/14/2020,Riau,0,0,0
3/14/2020,Sulawesi Tenggara,0,0,0
3/15/2020,Bali,0,0,0
3/15/2020,Banten,1,-4,0
3/15/2020,DKI Jakarta,8,5,3
3/15/2020,Indonesia,21,21,0
3/15/2020,Jawa Barat,0,-2,0
3/15/2020,Jawa Tengah,1,0,0
3/15/2020,Kalimantan Timur,2,2,0
3/15/2020,Riau,0,0,0
3/15/2020,Sulawesi Tenggara,0,0,0
3/16/2020,Bali,0,0,0
3/16/2020,Banten,1,-3,0
3/16/2020,DKI Jakarta,2,-1,3
3/16/2020,Daerah Istimewa Yogyakarta,1,1,0
3/16/2020,Indonesia,17,17,0
3/16/2020,Jawa Barat,0,-2,0
3/16/2020,Jawa Tengah,1,1,0
3/16/2020,Kalimantan Timur,1,1,0
3/16/2020,Riau,0,0,0
3/16/2020,Sulawesi Tenggara,2,2,0
3/17/2020,Bali,0,0,0
3/17/2020,Banten,0,-4,1
3/17/2020,DKI Jakarta,2,1,1
3/17/2020,Daerah Istimewa Yogyakarta,0,0,0
3/17/2020,Indonesia,38,37,0
3/17/2020,Jawa Barat,11,11,0
3/17/2020,Jawa Tengah,1,0,0
3/17/2020,Kalimantan Timur,1,1,0
3/17/2020,Riau,0,0,0
3/17/2020,Sulawesi Tenggara,0,0,0
3/17/2020,Sumatera Utara,1,0,1
3/18/2020,Bali,0,0,0
3/18/2020,Banten,0,-2,1
3/18/2020,DKI Jakarta,1,0,1
3/18/2020,Daerah Istimewa Yogyakarta,0,0,0
3/18/2020,Indonesia,55,39,14
3/18/2020,Jawa Barat,4,1,1
3/18/2020,Jawa Tengah,3,2,1
3/18/2020,Jawa Timur,7,6,1
3/18/2020,Kalimantan Timur,0,0,0
3/18/2020,Riau,0,0,0
3/18/2020,Sulawesi Tenggara,0,0,0
3/18/2020,Sumatera Utara,0,0,0
3/19/2020,Bali,1,0,1
3/19/2020,Banten,0,-4,1
3/19/2020,DKI Jakarta,2,1,0
3/19/2020,Daerah Istimewa Yogyakarta,0,0,0
3/19/2020,Indonesia,82,72,6
3/19/2020,Jawa Barat,5,3,1
3/19/2020,Jawa Tengah,2,2,0
3/19/2020,Jawa Timur,3,3,0
3/19/2020,Kalimantan Timur,0,0,0
3/19/2020,Kepulauan Riau,1,0,1
3/19/2020,Riau,0,0,0
3/19/2020,Sulawesi Selatan,2,2,0
3/19/2020,Sulawesi Tenggara,0,0,0
3/19/2020,Sumatera Utara,0,0,0
3/20/2020,Bali,0,0,0
3/20/2020,Banten,0,-6,3
3/20/2020,DKI Jakarta,5,1,3
3/20/2020,Daerah Istimewa Yogyakarta,1,0,0
3/20/2020,Indonesia,60,51,7
3/20/2020,Jambi,1,1,0
3/20/2020,Jawa Barat,16,12,4
3/20/2020,Jawa Tengah,4,3,0
3/20/2020,Jawa Timur,9,9,0
3/20/2020,Kalimantan Timur,0,0,0
3/20/2020,Kepulauan Riau,0,0,0
3/20/2020,Riau,0,0,0
3/20/2020,Sulawesi Selatan,0,0,0
3/20/2020,Sulawesi Tenggara,0,0,0
3/20/2020,Sumatera Utara,0,0,0
3/21/2020,Bali,0,0,0
3/21/2020,Banten,0,-2,0
3/21/2020,DKI Jakarta,8,-1,3
3/21/2020,Daerah Istimewa Yogyakarta,0,0,0
3/21/2020,Indonesia,81,72,6
3/21/2020,Jambi,0,0,0
3/21/2020,Jawa Barat,5,5,0
3/21/2020,Jawa Tengah,1,0,1
3/21/2020,Jawa Timur,9,8,1
3/21/2020,Kalimantan Timur,0,0,0
3/21/2020,Kepulauan Riau,0,0,0
3/21/2020,Riau,0,0,0
3/21/2020,Sulawesi Selatan,0,0,0
3/21/2020,Sulawesi Tenggara,0,0,0
3/21/2020,Sumatera Utara,0,0,0
3/22/2020,Bali,0,0,0
3/22/2020,Banten,0,-2,2
3/22/2020,DKI Jakarta,2,-1,0
3/22/2020,Daerah Istimewa Yogyakarta,0,0,0
3/22/2020,Indonesia,64,45,10
3/22/2020,Jambi,0,0,0
3/22/2020,Jawa Barat,3,-1,3
3/22/2020,Jawa Tengah,1,0,0
3/22/2020,Jawa Timur,14,14,0
3/22/2020,Kalimantan Timur,0,0,0
3/22/2020,Kepulauan Riau,0,0,0
3/22/2020,Maluku,1,1,0
3/22/2020,Papua,2,2,0
3/22/2020,Riau,0,0,0
3/22/2020,Sulawesi Selatan,0,0,0
3/22/2020,Sulawesi Tenggara,0,0,0
3/22/2020,Sumatera Utara,0,0,0
3/23/2020,Bali,0,0,0
3/23/2020,Banten,0,-5,2
3/23/2020,DKI Jakarta,0,0,0
3/23/2020,Daerah Istimewa Yogyakarta,0,-1,1
3/23/2020,Indonesia,65,63,1
3/23/2020,Jambi,0,0,0
3/23/2020,Jawa Barat,6,2,4
3/23/2020,Jawa Tengah,3,3,0
3/23/2020,Jawa Timur,2,1,1
3/23/2020,Kalimantan Timur,1,1,0
3/23/2020,Kepulauan Riau,0,0,0
3/23/2020,Maluku,0,0,0
3/23/2020,Maluku Utara,1,1,0
3/23/2020,Papua,0,0,0
3/23/2020,Riau,0,0,0
3/23/2020,Sulawesi Selatan,0,-1,1
3/23/2020,Sulawesi Tenggara,0,0,0
3/23/2020,Sumatera Selatan,1,-1,2
3/23/2020,Sumatera Utara,0,0,0
3/24/2020,Bali,0,0,0
3/24/2020,Banten,0,-4,1
3/24/2020,DKI Jakarta,16,-6,19
3/24/2020,Daerah Istimewa Yogyakarta,0,0,0
3/24/2020,Indonesia,106,100,6
3/24/2020,Jambi,0,0,0
3/24/2020,Jawa Barat,2,-2,2
3/24/2020,Jawa Tengah,3,1,1
3/24/2020,Jawa Timur,3,2,1
3/24/2020,Kalimantan Timur,0,0,0
3/24/2020,Kepulauan Riau,0,0,0
3/24/2020,Maluku,0,0,0
3/24/2020,Maluku Utara,0,0,0
3/24/2020,Papua,0,0,0
3/24/2020,Riau,0,0,0
3/24/2020,Sulawesi Selatan,2,2,0
3/24/2020,Sulawesi Tenggara,0,0,0
3/24/2020,Sumatera Selatan,0,0,0
3/24/2020,Sumatera Utara,0,0,0
3/25/2020,Bali,0,0,0
3/25/2020,Banten,0,-4,1
3/25/2020,DKI Jakarta,1,0,1
3/25/2020,Daerah Istimewa Yogyakarta,1,0,1
3/25/2020,Indonesia,105,101,3
3/25/2020,Jambi,0,0,0
3/25/2020,Jawa Barat,5,4,0
3/25/2020,Jawa Tengah,23,21,1
3/25/2020,Jawa Timur,9,8,0
3/25/2020,Kalimantan Timur,0,0,0
3/25/2020,Kepulauan Riau,0,0,0
3/25/2020,Maluku,0,0,0
3/25/2020,Maluku Utara,0,0,0
3/25/2020,Papua,0,0,0
3/25/2020,Riau,0,0,0
3/25/2020,Sulawesi Selatan,9,9,0
3/25/2020,Sulawesi Tenggara,0,0,0
3/25/2020,Sumatera Selatan,0,0,0
3/25/2020,Sumatera Utara,0,0,0
3/26/2020,Aceh,1,1,0
3/26/2020,Bali,0,0,0
3/26/2020,Banten,0,-4,0
3/26/2020,DKI Jakarta,57,55,2
3/26/2020,Daerah Istimewa Yogyakarta,0,0,0
3/26/2020,Indonesia,103,79,20
3/26/2020,Jambi,0,0,0
3/26/2020,Jawa Barat,5,4,1
3/26/2020,Jawa Tengah,4,3,0
3/26/2020,Jawa Timur,13,12,1
3/26/2020,Kalimantan Tengah,2,2,0
3/26/2020,Kalimantan Timur,0,0,0
3/26/2020,Kepulauan Riau,0,0,0
3/26/2020,Lampung,2,2,0
3/26/2020,Maluku,0,0,0
3/26/2020,Maluku Utara,0,0,0
3/26/2020,Papua,4,4,0
3/26/2020,Riau,0,0,0
3/26/2020,Sulawesi Selatan,14,14,0
3/26/2020,Sulawesi Tengah,1,1,0
3/26/2020,Sulawesi Tenggara,0,0,0
3/26/2020,Sulawesi Utara,1,0,0
3/26/2020,Sumatera Barat,3,3,0
3/26/2020,Sumatera Selatan,0,0,0
3/26/2020,Sumatera Utara,0,0,0
3/27/2020,Aceh,3,3,0
3/27/2020,Bali,0,0,0
3/27/2020,Banten,25,20,2
3/27/2020,DKI Jakarta,74,61,7
3/27/2020,Daerah Istimewa Yogyakarta,1,1,0
3/27/2020,Indonesia,153,133,9
3/27/2020,Jambi,0,0,0
3/27/2020,Jawa Barat,16,12,3
3/27/2020,Jawa Tengah,8,6,1
3/27/2020,Jawa Timur,3,2,1
3/27/2020,Kalimantan Tengah,0,0,0
3/27/2020,Kalimantan Timur,0,0,0
3/27/2020,Kepulauan Riau,0,0,0
3/27/2020,Lampung,1,1,0
3/27/2020,Maluku,0,0,0
3/27/2020,Maluku Utara,0,0,0
3/27/2020,Papua,0,0,0
3/27/2020,Papua Barat,2,2,0
3/27/2020,Riau,0,0,0
3/27/2020,Sulawesi Selatan,2,2,0
3/27/2020,Sulawesi Tengah,0,0,0
3/27/2020,Sulawesi Tenggara,0,0,0
3/27/2020,Sulawesi Utara,0,0,0
3/27/2020,Sumatera Barat,2,2,0
3/27/2020,Sumatera Selatan,0,0,0
3/27/2020,Sumatera Utara,0,-1,1
3/28/2020,Aceh,1,1,0
3/28/2020,Bali,0,0,0
3/28/2020,Banten,10,1,2
3/28/2020,DKI Jakarta,48,30,9
3/28/2020,Daerah Istimewa Yogyakarta,0,0,0
3/28/2020,Indonesia,109,81,15
3/28/2020,Jambi,0,0,0
3/28/2020,Jawa Barat,19,15,3
3/28/2020,Jawa Tengah,15,11,2
3/28/2020,Jawa Timur,14,10,2
3/28/2020,Kalimantan Tengah,1,1,0
3/28/2020,Kalimantan Timur,5,5,0
3/28/2020,Kalimantan Utara,2,2,0
3/28/2020,Kepulauan Riau,1,-1,0
3/28/2020,Lampung,0,0,0
3/28/2020,Maluku,0,0,0
3/28/2020,Maluku Utara,0,0,0
3/28/2020,Papua,0,0,0
3/28/2020,Papua Barat,0,0,0
3/28/2020,Riau,0,0,0
3/28/2020,Sulawesi Barat,1,1,0
3/28/2020,Sulawesi Selatan,3,3,0
3/28/2020,Sulawesi Tengah,1,1,0
3/28/2020,Sulawesi Tenggara,0,0,0
3/28/2020,Sulawesi Utara,0,0,0
3/28/2020,Sumatera Barat,0,0,0
3/28/2020,Sumatera Selatan,1,1,0
3/28/2020,Sumatera Utara,0,0,0
3/29/2020,Aceh,0,0,0
3/29/2020,Bali,1,1,0
3/29/2020,Banten,2,-2,2
3/29/2020,DKI Jakarta,52,42,10
3/29/2020,Daerah Istimewa Yogyakarta,0,0,0
3/29/2020,Indonesia,130,113,12
3/29/2020,Jambi,0,0,0
3/29/2020,Jawa Barat,27,21,3
3/29/2020,Jawa Tengah,11,8,3
3/29/2020,Jawa Timur,12,-17,1
3/29/2020,Kalimantan Barat,7,5,0
3/29/2020,Kalimantan Tengah,0,0,0
3/29/2020,Kalimantan Timur,0,0,0
3/29/2020,Kalimantan Utara,0,0,0
3/29/2020,Kepulauan Riau,0,0,0
3/29/2020,Lampung,0,0,0
3/29/2020,Maluku,0,0,0
3/29/2020,Maluku Utara,0,0,0
3/29/2020,Papua,2,2,0
3/29/2020,Papua Barat,0,0,0
3/29/2020,Riau,1,1,0
3/29/2020,Sulawesi Barat,0,0,0
3/29/2020,Sulawesi Selatan,15,15,0
3/29/2020,Sulawesi Tengah,0,0,0
3/29/2020,Sulawesi Tenggara,0,0,0
3/29/2020,Sulawesi Utara,0,0,0
3/29/2020,Sumatera Barat,0,0,0
3/29/2020,Sumatera Selatan,0,0,0
3/29/2020,Sumatera Utara,0,0,0
3/30/2020,Aceh,0,0,0
3/30/2020,Bali,9,9,0
3/30/2020,Banten,22,19,0
3/30/2020,DKI Jakarta,33,26,7
3/30/2020,Daerah Istimewa Yogyakarta,2,1,0
3/30/2020,Indonesia,129,110,8
3/30/2020,Jambi,1,1,0
3/30/2020,Jawa Barat,19,11,3
3/30/2020,Jawa Tengah,17,15,1
3/30/2020,Jawa Timur,7,5,2
3/30/2020,Kalimantan Barat,1,1,0
3/30/2020,Kalimantan Selatan,5,5,0
3/30/2020,Kalimantan Tengah,0,0,0
3/30/2020,Kalimantan Timur,0,0,0
3/30/2020,Kalimantan Utara,0,0,0
3/30/2020,Kepulauan Bangka Belitung,1,1,0
3/30/2020,Kepulauan Riau,2,0,2
3/30/2020,Lampung,4,3,1
3/30/2020,Maluku,0,0,0
3/30/2020,Maluku Utara,0,0,0
3/30/2020,Papua,0,0,0
3/30/2020,Papua Barat,0,0,0
3/30/2020,Riau,1,1,0
3/30/2020,Sulawesi Barat,0,0,0
3/30/2020,Sulawesi Selatan,4,2,2
3/30/2020,Sulawesi Tengah,0,0,0
3/30/2020,Sulawesi Tenggara,0,0,0
3/30/2020,Sulawesi Utara,0,0,0
3/30/2020,Sumatera Barat,3,3,0
3/30/2020,Sumatera Selatan,0,0,0
3/30/2020,Sumatera Utara,6,6,0
3/31/2020,Aceh,0,0,0
3/31/2020,Bali,0,-1,0
3/31/2020,Banten,14,11,2
3/31/2020,Bengkulu,1,0,1
3/31/2020,DKI Jakarta,44,34,10
3/31/2020,Daerah Istimewa Yogyakarta,5,5,0
3/31/2020,Indonesia,114,94,14
3/31/2020,Jambi,0,0,0
3/31/2020,Jawa Barat,7,4,0
3/31/2020,Jawa Tengah,15,13,2
3/31/2020,Jawa Timur,1,1,0
3/31/2020,Kalimantan Barat,0,0,0
3/31/2020,Kalimantan Selatan,2,2,0
3/31/2020,Kalimantan Tengah,4,2,0
3/31/2020,Kalimantan Timur,3,2,1
3/31/2020,Kalimantan Utara,0,0,0
3/31/2020,Kepulauan Bangka Belitung,1,0,1
3/31/2020,Kepulauan Riau,1,1,0
3/31/2020,Lampung,0,-1,1
3/31/2020,Maluku,0,0,0
3/31/2020,Maluku Utara,0,0,0
3/31/2020,Nusa Tenggara Barat,2,2,0
3/31/2020,Papua,1,0,0
3/31/2020,Papua Barat,0,0,0
3/31/2020,Riau,0,0,0
3/31/2020,Sulawesi Barat,0,0,0
3/31/2020,Sulawesi Selatan,0,-1,1
3/31/2020,Sulawesi Tengah,0,0,0
3/31/2020,Sulawesi Tenggara,0,0,0
3/31/2020,Sulawesi Utara,0,0,0
3/31/2020,Sumatera Barat,0,0,0
3/31/2020,Sumatera Selatan,3,3,0
3/31/2020,Sumatera Utara,6,4,2
4/1/2020,Aceh,0,0,0
4/1/2020,Bali,6,5,0
4/1/2020,Banten,12,5,1
4/1/2020,Bengkulu,0,0,0
4/1/2020,DKI Jakarta,59,58,1
4/1/2020,Daerah Istimewa Yogyakarta,6,5,0
4/1/2020,Indonesia,149,106,21
4/1/2020,Jambi,0,0,0
4/1/2020,Jawa Barat,20,17,1
4/1/2020,Jawa Tengah,19,-5,8
4/1/2020,Jawa Timur,9,-72,4
4/1/2020,Kalimantan Barat,1,1,0
4/1/2020,Kalimantan Selatan,0,0,0
4/1/2020,Kalimantan Tengah,0,0,0
4/1/2020,Kalimantan Timur,1,1,0
4/1/2020,Kalimantan Utara,0,0,0
4/1/2020,Kepulauan Bangka Belitung,0,0,0
4/1/2020,Kepulauan Riau,0,0,0
4/1/2020,Lampung,0,0,0
4/1/2020,Maluku,0,-1,0
4/1/2020,Maluku Utara,0,0,0
4/1/2020,Nusa Tenggara Barat,2,2,0
4/1/2020,Papua,0,-1,0
4/1/2020,Papua Barat,0,0,0
4/1/2020,Riau,0,-1,1
4/1/2020,Sulawesi Barat,0,0,0
4/1/2020,Sulawesi Selatan,14,14,0
4/1/2020,Sulawesi Tengah,0,0,0
4/1/2020,Sulawesi Tenggara,0,0,0
4/1/2020,Sulawesi Utara,2,2,0
4/1/2020,Sumatera Barat,0,0,0
4/1/2020,Sumatera Selatan,0,0,0
4/1/2020,Sumatera Utara,2,2,0
4/2/2020,Aceh,0,0,0
4/2/2020,Bali,0,0,0
4/2/2020,Banten,6,3,2
4/2/2020,Bengkulu,0,0,0
4/2/2020,DKI Jakarta,70,63,5
4/2/2020,Daerah Istimewa Yogyakarta,0,-1,1
4/2/2020,Indonesia,113,91,13
4/2/2020,Jambi,0,0,0
4/2/2020,Jawa Barat,15,9,5
4/2/2020,Jawa Tengah,5,1,2
4/2/2020,Jawa Timur,0,-103,12
4/2/2020,Kalimantan Barat,0,-1,1
4/2/2020,Kalimantan Selatan,0,0,0
4/2/2020,Kalimantan Tengah,0,0,0
4/2/2020,Kalimantan Timur,0,0,0
4/2/2020,Kalimantan Utara,0,0,0
4/2/2020,Kepulauan Bangka Belitung,0,0,0
4/2/2020,Kepulauan Riau,2,-1,1
4/2/2020,Lampung,0,0,0
4/2/2020,Maluku,0,0,0
4/2/2020,Maluku Utara,0,0,0
4/2/2020,Nusa Tenggara Barat,0,0,0
4/2/2020,Papua,0,-1,0
4/2/2020,Papua Barat,0,0,0
4/2/2020,Riau,4,4,0
4/2/2020,Sulawesi Barat,0,0,0
4/2/2020,Sulawesi Selatan,0,-6,2
4/2/2020,Sulawesi Tengah,0,-1,1
4/2/2020,Sulawesi Tenggara,0,0,0
4/2/2020,Sulawesi Utara,0,0,0
4/2/2020,Sumatera Barat,0,0,0
4/2/2020,Sumatera Selatan,6,6,0
4/2/2020,Sumatera Utara,0,0,0
4/3/2020,Aceh,0,0,0
4/3/2020,Bali,3,3,0
4/3/2020,Banten,4,0,0
4/3/2020,Bengkulu,1,1,0
4/3/2020,DKI Jakarta,71,63,6
4/3/2020,Daerah Istimewa Yogyakarta,0,0,0
4/3/2020,Indonesia,196,163,11
4/3/2020,Jambi,0,0,0
4/3/2020,Jawa Barat,2,-1,1
4/3/2020,Jawa Tengah,19,13,1
4/3/2020,Jawa Timur,47,39,1
4/3/2020,Kalimantan Barat,0,0,0
4/3/2020,Kalimantan Selatan,0,0,0
4/3/2020,Kalimantan Tengah,2,2,0
4/3/2020,Kalimantan Timur,1,1,0
4/3/2020,Kalimantan Utara,6,6,0
4/3/2020,Kepulauan Bangka Belitung,0,0,0
4/3/2020,Kepulauan Riau,2,2,0
4/3/2020,Lampung,3,2,1
4/3/2020,Maluku,0,0,0
4/3/2020,Maluku Utara,0,0,0
4/3/2020,Nusa Tenggara Barat,0,0,0
4/3/2020,Papua,6,5,1
4/3/2020,Papua Barat,0,0,0
4/3/2020,Riau,3,3,0
4/3/2020,Sulawesi Barat,1,1,0
4/3/2020,Sulawesi Selatan,15,15,0
4/3/2020,Sulawesi Tengah,2,1,1
4/3/2020,Sulawesi Tenggara,2,2,0
4/3/2020,Sulawesi Utara,0,0,0
4/3/2020,Sumatera Barat,0,0,0
4/3/2020,Sumatera Selatan,1,1,0
4/3/2020,Sumatera Utara,0,0,0
4/4/2020,Aceh,0,0,0
4/4/2020,Bali,5,5,0
4/4/2020,Banten,3,-1,2
4/4/2020,Bengkulu,0,0,0
4/4/2020,DKI Jakarta,57,44,8
4/4/2020,Daerah Istimewa Yogyakarta,5,5,0
4/4/2020,Indonesia,106,80,10
4/4/2020,Jambi,0,0,0
4/4/2020,Jawa Barat,20,14,4
4/4/2020,Jawa Tengah,15,11,1
4/4/2020,Jawa Timur,5,0,2
4/4/2020,Kalimantan Barat,0,0,0
4/4/2020,Kalimantan Selatan,0,0,0
4/4/2020,Kalimantan Tengah,1,-1,0
4/4/2020,Kalimantan Timur,2,1,0
4/4/2020,Kalimantan Utara,0,0,0
4/4/2020,Kepulauan Bangka Belitung,0,0,0
4/4/2020,Kepulauan Riau,0,0,0
4/4/2020,Lampung,0,0,0
4/4/2020,Maluku,0,0,0
4/4/2020,Maluku Utara,0,0,0
4/4/2020,Nusa Tenggara Barat,0,0,0
4/4/2020,Papua,2,1,0
4/4/2020,Papua Barat,0,0,0
4/4/2020,Riau,0,-1,0
4/4/2020,Sulawesi Barat,0,0,0
4/4/2020,Sulawesi Selatan,0,-7,2
4/4/2020,Sulawesi Tengah,0,0,0
4/4/2020,Sulawesi Tenggara,0,-1,0
4/4/2020,Sulawesi Utara,0,-1,1
4/4/2020,Sumatera Barat,0,0,0
4/4/2020,Sumatera Selatan,0,-1,0
4/4/2020,Sumatera Utara,3,2,1
4/5/2020,Aceh,0,0,0
4/5/2020,Bali,5,1,0
4/5/2020,Banten,4,-2,2
4/5/2020,Bengkulu,0,0,0
4/5/2020,DKI Jakarta,87,74,11
4/5/2020,Daerah Istimewa Yogyakarta,1,1,0
4/5/2020,Indonesia,181,160,7
4/5/2020,Jambi,0,0,0
4/5/2020,Jawa Barat,6,3,2
4/5/2020,Jawa Tengah,3,3,0
4/5/2020,Jawa Timur,35,25,2
4/5/2020,Kalimantan Barat,0,0,0
4/5/2020,Kalimantan Selatan,8,7,1
4/5/2020,Kalimantan Tengah,0,0,0
4/5/2020,Kalimantan Timur,1,1,0
4/5/2020,Kalimantan Utara,0,0,0
4/5/2020,Kepulauan Bangka Belitung,0,0,0
4/5/2020,Kepulauan Riau,1,1,0
4/5/2020,Lampung,0,0,0
4/5/2020,Maluku,0,0,0
4/5/2020,Maluku Utara,0,0,0
4/5/2020,Nusa Tenggara Barat,0,0,0
4/5/2020,Papua,8,8,0
4/5/2020,Papua Barat,0,0,0
4/5/2020,Riau,1,0,1
4/5/2020,Sulawesi Barat,0,0,0
4/5/2020,Sulawesi Selatan,2,-11,2
4/5/2020,Sulawesi Tengah,1,1,0
4/5/2020,Sulawesi Tenggara,0,0,0
4/5/2020,Sulawesi Utara,0,0,0
4/5/2020,Sumatera Barat,0,0,0
4/5/2020,Sumatera Selatan,4,4,0
4/5/2020,Sumatera Utara,0,0,0
4/6/2020,Aceh,0,0,0
4/6/2020,Bali,7,7,0
4/6/2020,Banten,11,1,2
4/6/2020,Bengkulu,0,0,0
4/6/2020,DKI Jakarta,103,89,7
4/6/2020,Daerah Istimewa Yogyakarta,3,2,0
4/6/2020,Indonesia,218,179,11
4/6/2020,Jambi,0,0,0
4/6/2020,Jawa Barat,10,3,3
4/6/2020,Jawa Tengah,19,13,5
4/6/2020,Jawa Timur,9,-7,5
4/6/2020,Kalimantan Barat,0,0,0
4/6/2020,Kalimantan Selatan,2,2,0
4/6/2020,Kalimantan Tengah,9,9,0
4/6/2020,Kalimantan Timur,6,6,0
4/6/2020,Kalimantan Utara,7,7,0
4/6/2020,Kepulauan Bangka Belitung,0,0,0
4/6/2020,Kepulauan Riau,0,0,0
4/6/2020,Lampung,1,1,0
4/6/2020,Maluku,0,0,0
4/6/2020,Maluku Utara,0,0,0
4/6/2020,Nusa Tenggara Barat,3,3,0
4/6/2020,Papua,0,-1,1
4/6/2020,Papua Barat,0,0,0
4/6/2020,Riau,1,1,0
4/6/2020,Sulawesi Barat,0,0,0
4/6/2020,Sulawesi Selatan,29,29,0
4/6/2020,Sulawesi Tengah,0,0,0
4/6/2020,Sulawesi Tenggara,1,1,0
4/6/2020,Sulawesi Utara,2,2,0
4/6/2020,Sumatera Barat,10,10,0
4/6/2020,Sumatera Selatan,0,0,0
4/6/2020,Sumatera Utara,1,1,0
4/7/2020,Aceh,0,0,0
4/7/2020,Bali,0,0,0
4/7/2020,Banten,6,2,0
4/7/2020,Bengkulu,0,0,0
4/7/2020,DKI Jakarta,113,96,14
4/7/2020,Daerah Istimewa Yogyakarta,1,1,0
4/7/2020,Indonesia,247,223,12
4/7/2020,Jambi,0,0,0
4/7/2020,Jawa Barat,76,71,3
4/7/2020,Jawa Tengah,8,8,0
4/7/2020,Jawa Timur,5,-2,5
4/7/2020,Kalimantan Barat,1,0,0
4/7/2020,Kalimantan Selatan,0,-2,2
4/7/2020,Kalimantan Tengah,1,-1,0
4/7/2020,Kalimantan Timur,0,0,0
4/7/2020,Kalimantan Utara,0,0,0
4/7/2020,Kepulauan Bangka Belitung,0,0,0
4/7/2020,Kepulauan Riau,0,0,0
4/7/2020,Lampung,0,0,0
4/7/2020,Maluku,0,0,0
4/7/2020,Maluku Utara,0,0,0
4/7/2020,Nusa Tenggara Barat,0,0,0
4/7/2020,Papua,0,-1,1
4/7/2020,Papua Barat,0,0,0
4/7/2020,Riau,0,0,0
4/7/2020,Sulawesi Barat,0,0,0
4/7/2020,Sulawesi Selatan,10,8,0
4/7/2020,Sulawesi Tengah,0,-2,0
4/7/2020,Sulawesi Tenggara,0,0,0
4/7/2020,Sulawesi Utara,3,2,1
4/7/2020,Sumatera Barat,0,0,0
4/7/2020,Sumatera Selatan,0,0,0
4/7/2020,Sumatera Utara,0,0,0
4/8/2020,Aceh,0,0,0
4/8/2020,Bali,6,6,0
4/8/2020,Banten,19,13,0
4/8/2020,Bengkulu,0,0,0
4/8/2020,DKI Jakarta,90,77,8
4/8/2020,Daerah Istimewa Yogyakarta,4,-2,3
4/8/2020,Indonesia,218,181,19
4/8/2020,Jambi,0,0,0
4/8/2020,Jawa Barat,22,13,5
4/8/2020,Jawa Tengah,15,10,3
4/8/2020,Jawa Timur,15,-23,23
4/8/2020,Kalimantan Barat,0,0,0
